dataset	regime	depth	policy_code	family	utility
parse	common128	16	O	PCA	-0.06494043772085291
parse	common128	16	O	RBF	-0.06263434771179872
parse	common128	16	O	scGen	-0.11440461534018927
parse	common128	16	O	CPA	-0.27121844496503456
parse	common128	16	O	CellOT	-0.12072825405759821
parse	common128	16	D	NC	-0.06439464414952933
parse	common128	16	D	CM	-0.06721308512966481
parse	common128	16	D	TW	-0.06494750393959613
parse	common128	16	D	PCA	-0.06494043772085291
parse	common128	16	D	RBF	-0.06263434771179872
parse	common128	16	D	scGen	-0.12121658911295793
parse	common128	16	D	CPA	-0.2773168987395938
parse	common128	16	D	CellOT	-0.1282274963624151
parse	common128	24	S	NC	-0.04745013329630618
parse	common128	24	S	CM	-0.050275570105978155
parse	common128	24	S	TW	-0.048009945591348614
parse	common128	24	S	PCA	-0.04800287767024728
parse	common128	24	S	RBF	-0.04569496174622341
parse	common128	24	S	scGen	-0.018622113716282925
parse	common128	24	S	CPA	-0.1745604428587459
parse	common128	24	S	CellOT	-0.02536000261802175
parse	common128	24	M	NC	-0.04745013329630618
parse	common128	24	M	CM	-0.050275570105978155
parse	common128	24	M	TW	-0.048009945591348614
parse	common128	24	M	PCA	-0.04800287767024728
parse	common128	24	M	RBF	-0.04569496174622341
parse	common128	24	M	scGen	-0.01862211371631909
parse	common128	24	M	CPA	-0.17456044285865943
parse	common128	24	M	CellOT	-0.02536000261808196
parse	common128	24	P	NC	-0.04745013329630618
parse	common128	24	P	CM	-0.050275570105978155
parse	common128	24	P	TW	-0.048009945591348614
parse	common128	24	P	PCA	-0.04800287767024728
parse	common128	24	P	RBF	-0.04569496174622341
parse	common128	24	P	scGen	-0.09091498222783066
parse	common128	24	P	CPA	-0.24637258621087382
parse	common128	24	P	CellOT	-0.09811086409504977
parse	common128	24	O	NC	-0.04745013329630618
parse	common128	24	O	CM	-0.050275570105978155
parse	common128	24	O	TW	-0.048009945591348614
parse	common128	24	O	PCA	-0.04800287767024729
parse	common128	24	O	RBF	-0.04569496174622341
parse	common128	24	O	scGen	-0.08181583974824365
parse	common128	24	O	CPA	-0.23823489404938686
parse	common128	24	O	CellOT	-0.08809573568457432
parse	common128	24	D	NC	-0.04745013329630618
parse	common128	24	D	CM	-0.050275570105978155
parse	common128	24	D	TW	-0.048009945591348614
parse	common128	24	D	PCA	-0.04800287767024728
parse	common128	24	D	RBF	-0.04569496174622341
parse	common128	24	D	scGen	-0.08636541098806502
parse	common128	24	D	CPA	-0.2423037401300413
parse	common128	24	D	CellOT	-0.09310329988983942
parse	common128	32	S	NC	-0.03898259334520259
parse	common128	32	S	CM	-0.041809726460618396
parse	common128	32	S	TW	-0.03954406941854336
parse	common128	32	S	PCA	-0.039536994675586176
parse	common128	32	S	RBF	-0.03722861223540189
parse	common128	32	S	scGen	-0.018128786997993494
parse	common128	32	S	CPA	-0.17399216379603116
parse	common128	32	S	CellOT	-0.02472654614115102
parse	common128	32	M	NC	-0.038982593345202585
parse	common128	32	M	CM	-0.041809726460618396
parse	common128	32	M	TW	-0.03954406941854336
parse	common128	32	M	PCA	-0.03953699467558618
parse	common128	32	M	RBF	-0.03722861223540189
parse	common128	32	M	scGen	-0.01812878699796923
parse	common128	32	M	CPA	-0.1739921637961425
parse	common128	32	M	CellOT	-0.024726546141123303
parse	common128	32	P	NC	-0.038982593345202585
