allocation	cells_per_role	pattern	mean_utility_improvement	improved_tasks	ties	worse_tasks
2	512	M	0.018621119392636862	50	0	5
2	512	P	0.01856436522937459	50	0	5
2	512	O	0.018677873555899126	50	0	5
2	512	D	0.01862111939263686	50	0	5
2	1024	S	0.018468937985299402	50	0	5
2	1024	M	0.018468937985299402	50	0	5
2	1024	P	0.018447513595746118	50	0	5
2	1024	O	0.018490362374852683	50	0	5
2	1024	D	0.018468937985299402	50	0	5
2	1080	S	0.018410424513256182	50	0	5
2	1080	M	0.018410424513256182	50	0	5
2	1080	P	0.01839265947040512	50	0	5
2	1080	O	0.018428189556107234	50	0	5
2	1080	D	0.018410424513256172	50	0	5
3	64	S	0.019235047104654266	51	0	4
3	64	M	0.019235047104654263	51	0	4
3	64	P	0.0190819107894145	50	0	5
3	64	O	0.019388183419894033	51	0	4
3	64	D	0.019235047104654266	51	0	4
3	128	S	0.019167984287855894	50	0	5
3	128	M	0.019167984287855894	50	0	5
3	128	P	0.01906764502661886	50	0	5
3	128	O	0.019268323549092924	50	0	5
3	128	D	0.019167984287855894	50	0	5
3	256	S	0.01914186515093904	50	0	5
3	256	M	0.01914186515093904	50	0	5
3	256	P	0.01907972168652106	50	0	5
3	256	O	0.019204008615357027	50	0	5
3	256	D	0.01914186515093904	50	0	5
3	512	S	0.0187481264627996	50	0	5
3	512	M	0.0187481264627996	50	0	5
3	512	P	0.01872061921664645	50	0	5
3	512	O	0.01877563370895276	50	0	5
3	512	D	0.018748126462799608	50	0	5
3	1024	S	0.01833207257727386	50	0	5
3	1024	M	0.01833207257727386	50	0	5
3	1024	P	0.018318146232872583	50	0	5
3	1024	O	0.01834599892167514	50	0	5
3	1024	D	0.01833207257727386	50	0	5
3	1080	S	0.01834226596603066	50	0	5
3	1080	M	0.018342265966030665	50	0	5
3	1080	P	0.018332432280460626	50	0	5
3	1080	O	0.018352099651600715	50	0	5
3	1080	D	0.01834226596603066	50	0	5
4	64	S	0.017629720085173755	50	0	5
4	64	M	0.017629720085173755	50	0	5
4	64	P	0.017204466834248384	50	0	5
4	64	O	0.018054973336099137	50	0	5
4	64	D	0.017629720085173755	50	0	5
4	128	S	0.01826967266158581	50	0	5
4	128	M	0.018269672661585808	50	0	5
4	128	P	0.018157256384013575	50	0	5
4	128	O	0.01838208893915805	50	0	5
4	128	D	0.018269672661585808	50	0	5
4	256	S	0.018939726592812397	50	0	5
4	256	M	0.018939726592812397	50	0	5
4	256	P	0.018878831165015774	50	0	5
4	256	O	0.01900062202060902	50	0	5
4	256	D	0.018939726592812397	50	0	5
4	512	S	0.018476005185711252	50	0	5
4	512	M	0.018476005185711252	50	0	5
4	512	P	0.018429667762711145	50	0	5
4	512	O	0.01852234260871136	50	0	5
4	512	D	0.01847600518571125	50	0	5
4	1024	S	0.018495494568125364	50	0	5
4	1024	M	0.01849549456812536	50	0	5
4	1024	P	0.018485956974281414	50	0	5
4	1024	O	0.018505032161969307	50	0	5
4	1024	D	0.01849549456812536	50	0	5
4	1080	S	0.018529503853272584	50	0	5
4	1080	M	0.018529503853272587	50	0	5
4	1080	P	0.01852148841618119	50	0	5
4	1080	O	0.018537519290363992	50	0	5
4	1080	D	0.018529503853272584	50	0	5
5	64	S	0.019224794514302965	51	0	4
5	64	M	0.019224794514302958	51	0	4
5	64	P	0.01916729260302939	51	0	4
5	64	O	0.019282296425576523	51	0	4
5	64	D	0.019224794514302965	51	0	4
5	128	S	0.01865771551915832	50	0	5
5	128	M	0.01865771551915832	50	0	5
5	128	P	0.01857172430056599	50	0	5
5	128	O	0.018743706737750644	50	0	5
5	128	D	0.018657715519158315	50	0	5
5	256	S	0.018892683110475594	50	0	5
5	256	M	0.018892683110475598	50	0	5
5	256	P	0.018828381805206264	50	0	5
5	256	O	0.01895698441574492	50	0	5
5	256	D	0.018892683110475594	50	0	5
5	512	S	0.01867470691002876	50	0	5
5	512	M	0.018674706910028756	50	0	5
5	512	P	0.018593045382227325	50	0	5
5	512	O	0.01875636843783019	50	0	5
5	512	D	0.018674706910028763	50	0	5
5	1024	S	0.01849022559193461	50	0	5
5	1024	M	0.018490225591934608	50	0	5
5	1024	P	0.018449649545311406	50	0	5
5	1024	O	0.018530801638557817	50	0	5
5	1024	D	0.01849022559193461	50	0	5
5	1080	S	0.0184794571550947	50	0	5
5	1080	M	0.0184794571550947	50	0	5
5	1080	P	0.01844591262176884	50	0	5
5	1080	O	0.01851300168842055	50	0	5
5	1080	D	0.018479457155094702	50	0	5
6	64	S	0.01838104317623154	51	0	4
6	64	M	0.01838104317623154	51	0	4
6	64	P	0.018248600931307025	51	0	4
6	64	O	0.018513485421156054	51	0	4
6	64	D	0.01838104317623154	51	0	4
6	128	S	0.018954913356725188	51	0	4
6	128	M	0.018954913356725184	51	0	4
6	128	P	0.019019682455659704	51	0	4
6	128	O	0.018890144257790665	51	0	4
6	128	D	0.01895491335672518	51	0	4
6	256	S	0.018728676135174035	50	0	5
6	256	M	0.018728676135174035	50	0	5
6	256	P	0.01873781301717632	50	0	5
6	256	O	0.01871953925317175	50	0	5
6	256	D	0.018728676135174035	50	0	5
6	512	S	0.018332720806685163	50	0	5
6	512	M	0.018332720806685167	50	0	5
6	512	P	0.01835827319157693	50	0	5
6	512	O	0.0183071684217934	50	0	5
6	512	D	0.018332720806685167	50	0	5
6	1024	S	0.01853005973575183	50	0	5
6	1024	M	0.018530059735751832	50	0	5
6	1024	P	0.01853642131122511	50	0	5
6	1024	O	0.018523698160278546	50	0	5
6	1024	D	0.01853005973575183	50	0	5
6	1080	S	0.018457248023838493	50	0	5
6	1080	M	0.018457248023838493	50	0	5
6	1080	P	0.01846942816396277	50	0	5
6	1080	O	0.018445067883714215	50	0	5
6	1080	D	0.018457248023838493	50	0	5
7	64	S	0.01831524870173712	51	0	4
7	64	M	0.018315248701737116	51	0	4
7	64	P	0.018238425601536507	51	0	4
7	64	O	0.01839207180193774	51	0	4
7	64	D	0.01831524870173712	51	0	4
7	128	S	0.0185951739760299	50	0	5
7	128	M	0.018595173976029902	50	0	5
7	128	P	0.018524363169028002	50	0	5
7	128	O	0.018665984783031796	50	0	5
7	128	D	0.0185951739760299	50	0	5
7	256	S	0.01785241016173786	50	0	5
7	256	M	0.017852410161737865	50	0	5
7	256	P	0.017790718095047994	50	0	5
7	256	O	0.017914102228427733	50	0	5
7	256	D	0.017852410161737865	50	0	5
7	512	S	0.018176388628054405	50	0	5
7	512	M	0.018176388628054402	50	0	5
7	512	P	0.01815047236507256	50	0	5
7	512	O	0.018202304891036237	50	0	5
7	512	D	0.0181763886280544	50	0	5
