view	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	realizations_per_allocation	repeated_realizations	A_allocation	A_Cobs	A_Cpred	A_Cmodel	A_anchor_task_mean	B_repeated_task_mean	B_minimum_task_mean	B_maximum_task_mean	C_same_primary_mean	C_minus_B_same_primary	C_full_role_assignments_per_allocation	all_task_support
direct_state	32	native_effect_ridge	native_effect	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.9636363636363636	0.9636363636363637	0.9636363636363636	0.9636363636363636	0.9636363636363637	0	27	True
direct_state	64	selected_CPA	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.07379887612198606	0.07386127081926259	0.06934504863960816	0.08010319873896028	0.07386127081926259	0	27	True
direct_state	64	selected_CPA	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1171008901319417	0.1172198732261202	0.1135772848090146	0.1221343544763802	0.1172198732261202	0	27	True
direct_state	64	selected_CPA	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	0.1161845807122707	0.1146283221624346	0.07361911953500783	0.137731973707842	0.1146283221624346	0	27	True
direct_state	64	selected_CPA	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5612794612794612	0.5610549943883277	0.5545454545454546	0.567003367003367	0.5610549943883277	0	27	True
direct_state	64	original_CPA_fixed	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0.09275262305821325	0	27	True
direct_state	64	original_CPA_fixed	state	raw_RMSE	lower	55	30	3	90	0	unused	unused	0	0.1315293332522501	0.13152933325225	0.1315293332522501	0.1315293332522501	0.13152933325225	0	27	True
direct_state	64	original_CPA_fixed	state	perturbation_centred_Pearson	higher	55	30	3	90	0	unused	unused	0	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	-0.09991128464033494	0	27	True
direct_state	64	original_CPA_fixed	state	centroid_accuracy	higher	55	30	3	90	0	unused	unused	0	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0.5279461279461278	0	27	True
direct_state	64	additive	state	standardized_MSE	lower	55	30	3	90	0	unused	unused	0	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0.02619516713620195	0	27	True
