role	depth	model	model_kind	metric	metric_direction	task_count	allocation_count	directed_contrasts_per_allocation	total_task_mean_contrasts	mean_abs_task_score_change	minimum_task_mean_change	maximum_task_mean_change	mean_abs_task_mean_change	gap_0_positive_count	gap_0_negative_count	gap_0_within_count	gap_0p005_positive_count	gap_0p005_negative_count	gap_0p005_within_count	gap_0p01_positive_count	gap_0p01_negative_count	gap_0p01_within_count	gap_0p02_positive_count	gap_0p02_negative_count	gap_0p02_within_count
Cobs	128	additive	state	centroid_accuracy	higher	55	30	54	1620	0.00116722783389453	-0.004713804713804713	0.004713804713804713	0.0009028557176705266	684	684	252	0	0	1620	0	0	1620	0	0	1620
Cobs	128	compositional_ridge	state	standardized_MSE	lower	55	30	54	1620	0.001643721478544822	-0.003924732871052789	0.003924732871052789	0.001429641461991852	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	128	compositional_ridge	state	raw_RMSE	lower	55	30	54	1620	0.002473389348111097	-0.005295704804757917	0.005295704804757917	0.002167511579362906	810	810	0	3	3	1614	0	0	1620	0	0	1620
Cobs	128	compositional_ridge	state	perturbation_centred_Pearson	higher	55	30	54	1620	0.02568927231489283	-0.04565640084068134	0.04565640084068134	0.02340469955539415	810	810	0	597	597	426	546	546	528	540	540	540
Cobs	128	compositional_ridge	state	centroid_accuracy	higher	55	30	54	1620	0.007153011597454108	-0.01313131313131313	0.01313131313131313	0.003329592218481092	765	765	90	204	204	1212	15	15	1590	0	0	1620
Cobs	128	NC_native_effect	native_effect	standardized_MSE	lower	55	30	54	1620	0.002290724361403596	-0.007652802545432343	0.007652802545432343	0.002152505598082379	810	810	0	63	63	1494	0	0	1620	0	0	1620
Cobs	128	NC_native_effect	native_effect	raw_RMSE	lower	55	30	54	1620	0.001614449653084033	-0.00540146189378747	0.00540146189378747	0.001466623148605304	810	810	0	9	9	1602	0	0	1620	0	0	1620
Cobs	128	NC_native_effect	native_effect	perturbation_centred_Pearson	higher	55	30	54	1620	0.01191108405803673	-0.009074994269451173	0.009074994269451173	0.002175709552548169	810	810	0	72	72	1476	0	0	1620	0	0	1620
Cobs	128	NC_native_effect	native_effect	centroid_accuracy	higher	55	30	54	1620	0.004354657687990877	0	0	0	0	0	1620	0	0	1620	0	0	1620	0	0	1620
Cobs	128	native_effect_ridge	native_effect	standardized_MSE	lower	55	30	54	1620	0.000680644778746605	-0.0004025598157982848	0.0004025598157982848	0.0001478946779392985	810	810	0	0	0	1620	0	0	1620	0	0	1620
Cobs	128	native_effect_ridge	native_effect	raw_RMSE	lower	55	30	54	1620	0.001022877431088074	-0.0007723825519591796	0.0007723825519591796	0.0002586590073805928	810	810	0	0	0	1620	0	0	1620	0	0	1620
