depth	role	model	metric	gap	taskmean_values	positive	negative	within
16	Cobs	selected_CPA	centroid_accuracy	0.01	1620	118	118	1384
16	Cobs	selected_CPA	centroid_accuracy	0.02	1620	0	0	1620
16	Cobs	original_CPA_fixed	standardized_MSE	0.0	1620	810	810	0
16	Cobs	original_CPA_fixed	standardized_MSE	0.005	1620	627	627	366
16	Cobs	original_CPA_fixed	standardized_MSE	0.01	1620	465	465	690
16	Cobs	original_CPA_fixed	standardized_MSE	0.02	1620	156	156	1308
16	Cobs	original_CPA_fixed	raw_RMSE	0.0	1620	810	810	0
16	Cobs	original_CPA_fixed	raw_RMSE	0.005	1620	564	564	492
16	Cobs	original_CPA_fixed	raw_RMSE	0.01	1620	336	336	948
16	Cobs	original_CPA_fixed	raw_RMSE	0.02	1620	60	60	1500
16	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.0	1620	810	810	0
16	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.005	1620	738	738	144
16	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.01	1620	648	648	324
16	Cobs	original_CPA_fixed	perturbation_centred_Pearson	0.02	1620	444	444	732
16	Cobs	original_CPA_fixed	centroid_accuracy	0.0	1620	771	771	78
16	Cobs	original_CPA_fixed	centroid_accuracy	0.005	1620	114	114	1392
16	Cobs	original_CPA_fixed	centroid_accuracy	0.01	1620	3	3	1614
16	Cobs	original_CPA_fixed	centroid_accuracy	0.02	1620	0	0	1620
16	Cobs	additive	standardized_MSE	0.0	1620	810	810	0
16	Cobs	additive	standardized_MSE	0.005	1620	540	540	540
16	Cobs	additive	standardized_MSE	0.01	1620	540	540	540
16	Cobs	additive	standardized_MSE	0.02	1620	6	6	1608
16	Cobs	additive	raw_RMSE	0.0	1620	810	810	0
16	Cobs	additive	raw_RMSE	0.005	1620	543	543	534
16	Cobs	additive	raw_RMSE	0.01	1620	540	540	540
16	Cobs	additive	raw_RMSE	0.02	1620	171	171	1278
16	Cobs	additive	perturbation_centred_Pearson	0.0	1620	810	810	0
16	Cobs	additive	perturbation_centred_Pearson	0.005	1620	618	618	384
16	Cobs	additive	perturbation_centred_Pearson	0.01	1620	543	543	534
16	Cobs	additive	perturbation_centred_Pearson	0.02	1620	540	540	540
16	Cobs	additive	centroid_accuracy	0.0	1620	780	780	60
16	Cobs	additive	centroid_accuracy	0.005	1620	174	174	1272
16	Cobs	additive	centroid_accuracy	0.01	1620	21	21	1578
16	Cobs	additive	centroid_accuracy	0.02	1620	0	0	1620
16	Cobs	compositional_ridge	standardized_MSE	0.0	1620	810	810	0
16	Cobs	compositional_ridge	standardized_MSE	0.005	1620	546	546	528
16	Cobs	compositional_ridge	standardized_MSE	0.01	1620	540	540	540
16	Cobs	compositional_ridge	standardized_MSE	0.02	1620	18	18	1584
16	Cobs	compositional_ridge	raw_RMSE	0.0	1620	810	810	0
16	Cobs	compositional_ridge	raw_RMSE	0.005	1620	546	546	528
16	Cobs	compositional_ridge	raw_RMSE	0.01	1620	540	540	540
16	Cobs	compositional_ridge	raw_RMSE	0.02	1620	273	273	1074
