task_index	task	depth	allocation	model	view	Cobs	Cpred	Cmodel	standardized_MSE	raw_RMSE	perturbation_centred_Pearson	centroid_accuracy
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	2	0	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	2	1	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	0	2	2	0.02072344139812813	0.06272643745941175	0.8324870638142225	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	0	0	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	0	1	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	0	2	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	1	0	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	1	1	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	1	2	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	2	0	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	2	1	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	1	2	2	0.021849009082214974	0.06437113543407519	0.8283938627792964	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	0	0	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	0	1	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	0	2	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	1	0	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	1	1	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	1	2	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	2	0	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	2	1	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	roles	2	2	2	0.02086654072164592	0.06262862409075651	0.843680788626662	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	direct_state	unused	unused	0	0.006532478581377718	0.03542818799733687	0.9377512466057497	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	direct_state	unused	unused	1	0.006532478581377718	0.03542818799733687	0.9377512466057497	1.0
0	BAK1+KLF1	8	0	native_effect_ridge	direct_state	unused	unused	2	0.006532478581377718	0.03542818799733687	0.9377512466057497	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	0	0	0.020685545279243527	0.0642368823098848	0.8118544443155827	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	0	1	0.0265338701837615	0.07345418351497968	0.7417303793894363	0.9444444444444444
0	BAK1+KLF1	8	29	selected_CPA	roles	0	0	2	0.028331250979021044	0.0754796662610091	0.7338154406954809	0.9074074074074074
0	BAK1+KLF1	8	29	selected_CPA	roles	0	1	0	0.05065442788252243	0.09893778273490068	0.5276426365418745	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	1	1	0.048846058789331445	0.0968881994441317	0.5058426363474225	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	1	2	0.05177413127972913	0.0997896058394606	0.49204889133287505	0.9814814814814815
0	BAK1+KLF1	8	29	selected_CPA	roles	0	2	0	0.05142369955440111	0.09959140229909932	0.5234320928389765	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	2	1	0.051081876364997225	0.09940648398108426	0.4889006593277886	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	0	2	2	0.04924597865941187	0.09721164098094351	0.5019304980239139	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	1	0	0	0.05631118043468497	0.10481959641696471	0.423264611209199	0.9444444444444444
0	BAK1+KLF1	8	29	selected_CPA	roles	1	0	1	0.0698161993369119	0.11801181935681095	0.32447213672827935	0.8148148148148148
0	BAK1+KLF1	8	29	selected_CPA	roles	1	0	2	0.0704828884370333	0.11815021435392116	0.3284886050520103	0.8148148148148148
0	BAK1+KLF1	8	29	selected_CPA	roles	1	1	0	0.020685545279243527	0.0642368823098848	0.8118544443155827	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	1	1	1	0.0265338701837615	0.07345418351497968	0.7417303793894363	0.9444444444444444
0	BAK1+KLF1	8	29	selected_CPA	roles	1	1	2	0.028331250979021044	0.0754796662610091	0.7338154406954809	0.9074074074074074
0	BAK1+KLF1	8	29	selected_CPA	roles	1	2	0	0.05302109217741946	0.10117833681492515	0.475407711128938	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	1	2	1	0.060335962985724544	0.10895301360745303	0.40150756583900776	0.9629629629629629
0	BAK1+KLF1	8	29	selected_CPA	roles	1	2	2	0.05736937358500105	0.10568932755876576	0.42079471853225486	0.9444444444444444
0	BAK1+KLF1	8	29	selected_CPA	roles	2	0	0	0.05568906736163086	0.10391058666898284	0.43503422485182514	0.9074074074074074
0	BAK1+KLF1	8	29	selected_CPA	roles	2	0	1	0.06772754036007068	0.11563947608938882	0.3421662641519649	0.8148148148148148
0	BAK1+KLF1	8	29	selected_CPA	roles	2	0	2	0.07315819965617515	0.12003066371366959	0.3279916604066703	0.7962962962962963
0	BAK1+KLF1	8	29	selected_CPA	roles	2	1	0	0.05162970743248668	0.09958692439325877	0.4913088415307254	0.9814814814814815
0	BAK1+KLF1	8	29	selected_CPA	roles	2	1	1	0.05601148643321755	0.10402947769989945	0.43822453459870253	0.9444444444444444
0	BAK1+KLF1	8	29	selected_CPA	roles	2	1	2	0.06257283742446013	0.1101180427127074	0.4113171035771368	0.8703703703703703
0	BAK1+KLF1	8	29	selected_CPA	roles	2	2	0	0.020685545279243527	0.0642368823098848	0.8118544443155827	1.0
0	BAK1+KLF1	8	29	selected_CPA	roles	2	2	1	0.0265338701837615	0.07345418351497968	0.7417303793894363	0.9444444444444444
