depth	role_pair	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
8	Cpred:Cmodel	original_CPA_fixed	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	original_CPA_fixed	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	additive	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	additive	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	additive	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	additive	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	compositional_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	compositional_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	compositional_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	compositional_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	NC_native_effect	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	NC_native_effect	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	NC_native_effect	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	native_effect_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	native_effect_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	selected_CPA	standardized_MSE	108	178200	0.020454430261489354	0.03574702416434894	-0.035747024164348835	0.035747024164348835	0.020454430261490065	0.035747024164348835	1.927470528863119e-20
16	Cobs:Cpred	selected_CPA	raw_RMSE	108	178200	0.01691519258158013	0.054527697692754507	-0.030519177342753286	0.030519177342753286	0.0169151925815801	0.030519177342753286	-1.4884355750665197e-19
16	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	108	178200	0.12197735807223399	0.6017722579094336	-0.13444792093021876	0.13444792093021876	0.046218869465319605	0.13444792093021876	-5.996574978685259e-20
16	Cobs:Cpred	selected_CPA	centroid_accuracy	108	178200	0.01643513322526274	0.14814814814814817	-0.0107744107744108	0.010774410774410792	0.0023244793615164222	0.0107744107744108	-3.059190203969902e-19
16	Cobs:Cpred	original_CPA_fixed	standardized_MSE	108	178200	0.020454430261489357	0.03574702416434894	-0.03574702416434884	0.03574702416434885	0.020454430261490086	0.03574702416434885	9.851516036411497e-20
16	Cobs:Cpred	original_CPA_fixed	raw_RMSE	108	178200	0.015693330679854005	0.05551197310633066	-0.027014064756835515	0.027014064756835515	0.01569333067985427	0.027014064756835515	7.06739193916477e-20
16	Cobs:Cpred	original_CPA_fixed	perturbation_centred_Pearson	108	178200	0.14061008246749274	0.5014274385640469	-0.07112654028830634	0.07112654028830633	0.04216650180636627	0.07112654028830634	-1.413478387832954e-19
16	Cobs:Cpred	original_CPA_fixed	centroid_accuracy	108	178200	0.01263000374110773	0.11111111111111116	-0.008080808080808079	0.008080808080808077	0.0017358772914328473	0.008080808080808079	-2.177773993375205e-19
16	Cobs:Cpred	additive	standardized_MSE	108	178200	0.020454430261489357	0.03574702416434886	-0.03574702416434883	0.03574702416434882	0.02045443026149007	0.03574702416434883	-1.1778986565274615e-19
16	Cobs:Cpred	additive	raw_RMSE	108	178200	0.02590248365880879	0.0666435224510965	-0.044400156665973904	0.044400156665973904	0.025902483658809115	0.044400156665973904	-4.283267841918042e-20
16	Cobs:Cpred	additive	perturbation_centred_Pearson	108	178200	0.12767827509986468	0.46154645391000676	-0.21508361126802175	0.21508361126802175	0.1276782750998657	0.21508361126802175	-3.169618203019351e-19
16	Cobs:Cpred	additive	centroid_accuracy	108	178200	0.004466891133555605	0.2777777777777777	-0.009427609427609425	0.009427609427609422	0.001977802718543472	0.009427609427609425	-6.414862853872568e-19
16	Cobs:Cpred	compositional_ridge	standardized_MSE	108	178200	0.020454430261489357	0.03574702416434885	-0.035747024164348856	0.035747024164348856	0.02045443026149007	0.035747024164348856	2.420046330683694e-19
16	Cobs:Cpred	compositional_ridge	raw_RMSE	108	178200	0.02714825862406693	0.06976952596364404	-0.046543452710107076	0.046543452710107076	0.02714825862406837	0.046543452710107076	9.209025860123791e-20
16	Cobs:Cpred	compositional_ridge	perturbation_centred_Pearson	108	178200	0.23694934158061828	0.6589388229553383	-0.3926118569671423	0.3926118569671423	0.23694934158061146	0.3926118569671423	-3.4266142735344337e-20
16	Cobs:Cpred	compositional_ridge	centroid_accuracy	108	178200	0.014178825289937138	0.2222222222222222	-0.02491582491582493	0.024915824915824912	0.004362139917695488	0.02491582491582493	-1.6307203786902347e-18
16	Cobs:Cpred	NC_native_effect	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	NC_native_effect	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	NC_native_effect	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	NC_native_effect	centroid_accuracy	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	native_effect_ridge	standardized_MSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	native_effect_ridge	raw_RMSE	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	Cobs:Cpred	native_effect_ridge	perturbation_centred_Pearson	108	178200	0.0	0.0	0.0	0.0	0.0	0.0	0.0
