depth	role	model	metric	edges_per_allocation	task_edge_values	all_task_mean_abs_change	all_task_max_abs_change	taskmean_min_change	taskmean_max_change	taskmean_mean_abs_change	taskmean_max_abs_change	taskmean_signed_mean_change
16	Cobs	native_effect_ridge	perturbation_centred_Pearson	54	89100	0.014860770741556195	0.1744483556251522	-0.010536863900903222	0.010536863900903222	0.003577306724793189	0.010536863900903222	2.141633920959021e-21
16	Cobs	native_effect_ridge	centroid_accuracy	54	89100	0.008297792742236448	0.2962962962962963	-0.00740740740740741	0.00740740740740741	0.00219229330340443	0.00740740740740741	5.635174254523424e-20
16	Cpred	selected_CPA	standardized_MSE	54	89100	0.01287366210536375	0.06962186201304121	-0.03759009874243205	0.03759009874243205	0.012445145774468102	0.03759009874243205	5.3540848023975525e-20
16	Cpred	selected_CPA	raw_RMSE	54	89100	0.01045289492557553	0.035797127201536785	-0.027532611624987206	0.027532611624987206	0.01006471002347434	0.027532611624987206	4.283267841918042e-20
16	Cpred	selected_CPA	perturbation_centred_Pearson	54	89100	0.07752140664316934	0.4275891416867423	-0.12163193424255564	0.12163193424255564	0.031197607218295387	0.12163193424255564	-1.0279842820603302e-19
16	Cpred	selected_CPA	centroid_accuracy	54	89100	0.01733798894291625	0.20370370370370372	-0.01750841750841751	0.01750841750841751	0.005017250696263063	0.01750841750841751	-2.6235015531748008e-20
16	Cpred	original_CPA_fixed	standardized_MSE	54	89100	0.013179414928493218	0.0689008283441282	-0.0367034755595499	0.0367034755595499	0.012698926054146227	0.0367034755595499	8.566535683836084e-20
16	Cpred	original_CPA_fixed	raw_RMSE	54	89100	0.009858826023993097	0.03350766227238719	-0.025544466213455966	0.025544466213455966	0.009470722768246686	0.025544466213455966	-5.0328397142536994e-20
16	Cpred	original_CPA_fixed	perturbation_centred_Pearson	54	89100	0.08306417291442598	0.34582749876790664	-0.0767228740108747	0.0767228740108747	0.025373262947948876	0.0767228740108747	8.138208899644281e-20
16	Cpred	original_CPA_fixed	centroid_accuracy	54	89100	0.012320738246657482	0.12962962962962965	-0.009427609427609425	0.009427609427609425	0.002671156004489346	0.009427609427609425	3.4801551215584096e-21
