depth	role_pair	model	metric	gap	taskmean_values	positive	negative	within
8	Cpred:Cmodel	NC_native_effect	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	centroid_accuracy	0.0	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	centroid_accuracy	0.005	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	centroid_accuracy	0.01	3240	0	0	3240
8	Cpred:Cmodel	NC_native_effect	centroid_accuracy	0.02	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	standardized_MSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	standardized_MSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	standardized_MSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	standardized_MSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	raw_RMSE	0.0	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	raw_RMSE	0.005	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	raw_RMSE	0.01	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	raw_RMSE	0.02	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.0	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.005	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.01	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	perturbation_centred_Pearson	0.02	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	0.0	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	0.005	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	0.01	3240	0	0	3240
8	Cpred:Cmodel	native_effect_ridge	centroid_accuracy	0.02	3240	0	0	3240
16	Cobs:Cpred	selected_CPA	standardized_MSE	0.0	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	standardized_MSE	0.005	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	standardized_MSE	0.01	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	standardized_MSE	0.02	3240	540	540	2160
16	Cobs:Cpred	selected_CPA	raw_RMSE	0.0	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	raw_RMSE	0.005	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	raw_RMSE	0.01	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	raw_RMSE	0.02	3240	540	540	2160
16	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.0	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.005	3240	1620	1620	0
16	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.01	3240	1616	1616	8
16	Cobs:Cpred	selected_CPA	perturbation_centred_Pearson	0.02	3240	1480	1480	280
16	Cobs:Cpred	selected_CPA	centroid_accuracy	0.0	3240	1542	1542	156
16	Cobs:Cpred	selected_CPA	centroid_accuracy	0.005	3240	176	176	2888
16	Cobs:Cpred	selected_CPA	centroid_accuracy	0.01	3240	2	2	3236
16	Cobs:Cpred	selected_CPA	centroid_accuracy	0.02	3240	0	0	3240
16	Cobs:Cpred	original_CPA_fixed	standardized_MSE	0.0	3240	1620	1620	0
