root_task_index	root_index	task	model_a	model_b	allocation	S_margin	O_margin	O_fixed_input_margin	S_direction	O_direction	O_fixed_input_direction	strict_S_O_reversal	actual_vs_fixed_input_direction_changed
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	0	-0.054893418916597686	-0.05110324418416315	-0.05110324418416315	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	1	-0.054893418916597686	-0.058683593649032265	-0.058683593649032265	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	2	-0.054893418916597686	-0.05703777823869735	-0.05703777823869735	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	3	-0.054893418916597686	-0.05274905959449806	-0.05274905959449806	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	4	-0.054893418916597686	-0.05442463422698077	-0.05442463422698077	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	5	-0.054893418916597686	-0.05536220360621463	-0.05536220360621463	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	6	-0.054893418916597686	-0.05902713615927177	-0.05902713615927177	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	7	-0.054893418916597686	-0.050759701673923616	-0.050759701673923616	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	8	-0.054893418916597686	-0.05168023679103641	-0.05168023679103641	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	9	-0.054893418916597686	-0.05810660104215899	-0.05810660104215899	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	10	-0.054893418916597686	-0.04668161336114482	-0.04668161336114482	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	11	-0.054893418916597686	-0.06310522447205058	-0.06310522447205058	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	12	-0.054893418916597686	-0.057136704498218976	-0.057136704498218976	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	13	-0.054893418916597686	-0.05265013333497641	-0.05265013333497641	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	14	-0.054893418916597686	-0.057821044157705656	-0.057821044157705656	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	15	-0.054893418916597686	-0.05196579367548976	-0.05196579367548976	-1	-1	-1	False	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	-0.04473983191526827	0.04269844968327152	0.043422618183634826	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	-0.04473983191526827	0.018271714429446778	0.020490568256921055	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	-0.04473983191526827	0.013036517458032304	0.014311903947264198	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	-0.04473983191526827	0.057999003142719774	0.06262643573613369	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	-0.04473983191526827	0.029329806493693628	0.058248876193594645	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	-0.04473983191526827	0.03268951187600197	0.051965523133125774	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	-0.04473983191526827	0.02498507585218182	0.02909974393615314	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	-0.04473983191526827	0.044822033707084624	0.05208632282185849	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	-0.04473983191526827	0.02311637859104465	0.022975124049784412	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	-0.04473983191526827	0.02965655237256376	0.03222038118121093	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	-0.04473983191526827	0.04002240464237042	0.06517880828908043	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	-0.04473983191526827	0.027297638185625223	0.038054260874917256	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	12	-0.04473983191526827	0.01741283342804109	0.017640453572846743	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	13	-0.04473983191526827	0.038299546993948996	0.039967898963695764	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	14	-0.04473983191526827	0.02731362359998818	0.029411903617424573	-1	1	1	True	False
2	0	Epen1	NO_CHANGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	15	-0.04473983191526827	0.03399320553068519	0.03783504339583754	-1	1	1	True	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	0	0.010153587001329414	0.09380169386743467	0.09452586236779797	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	1	0.010153587001329414	0.07695530807847904	0.07917416190595332	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	2	0.010153587001329414	0.07007429569672965	0.07134968218596155	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	3	0.010153587001329414	0.11074806273721784	0.11537549533063175	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	4	0.010153587001329414	0.0837544407206744	0.11267351042057541	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	5	0.010153587001329414	0.0880517154822166	0.1073277267393404	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	6	0.010153587001329414	0.08401221201145359	0.08812688009542491	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	7	0.010153587001329414	0.09558173538100824	0.1028460244957821	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	8	0.010153587001329414	0.07479661538208106	0.07465536084082082	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	9	0.010153587001329414	0.08776315341472275	0.09032698222336992	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	10	0.010153587001329414	0.08670401800351524	0.11186042165022525	1	1	1	False	False
2	0	Epen1	PCA64_ADDITIVE_RIDGE_DIRECT_V1	SCGEN_2_1_1_ABSOLUTE_V1	11	0.010153587001329414	0.0904028626576758	0.10115948534696784	1	1	1	False	False
