condition	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_allocations	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
CBL+PTPN12	32	256	direct_effect_ridge	CPA_0.8.8	0.07535625778757035	0.0077340105629845465	0.08309026835055491	30	0	0.0830902683505549	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	64	512	direct_effect_ridge	additive	0.004515403057330256	0.0038389955844027146	0.008354398641732973	30	0	0.008354398641732971	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	64	512	direct_effect_ridge	compositional_ridge	0.0002329594188573723	0.0038389955844027146	0.004071955003260084	30	1	0.004071955003260087	-2.6020852139652106e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	64	512	direct_effect_ridge	CPA_0.8.8	0.07673366959300278	0.0038389955844027146	0.0805726651774055	30	0	0.0805726651774055	0.0	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	128	1024	direct_effect_ridge	additive	0.00549602913267751	0.0019173976591933101	0.007413426791870823	30	0	0.00741342679187082	3.469446951953614e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	128	1024	direct_effect_ridge	compositional_ridge	0.0012135854942046257	0.0019173976591933101	0.003130983153397933	30	0	0.003130983153397936	-2.6020852139652106e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	128	1024	direct_effect_ridge	CPA_0.8.8	0.07773147728165791	0.0019173976591933101	0.07964887494085122	30	0	0.07964887494085122	0.0	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	135	1080	direct_effect_ridge	additive	0.005540157844247321	0.0018214947222395463	0.007361652566486869	30	0	0.007361652566486868	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	135	1080	direct_effect_ridge	compositional_ridge	0.0012577142057744366	0.0018214947222395463	0.0030792089280139807	30	0	0.003079208928013983	-2.168404344971009e-18	False	False	False	False	False	effect_preferred_both
CBL+PTPN12	135	1080	direct_effect_ridge	CPA_0.8.8	0.0776781936075354	0.0018214947222395463	0.07949968832977494	30	0	0.07949968832977496	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBL+PTPN9	8	64	direct_effect_ridge	additive	-0.008794807301610925	0.030771096581544737	0.02197628927993382	30	30	0.021976289279933812	6.938893903907228e-18	True	True	True	False	False	state_to_effect
CBL+PTPN9	8	64	direct_effect_ridge	compositional_ridge	-0.008516329161929292	0.030771096581544737	0.022254767419615448	30	30	0.022254767419615445	3.469446951953614e-18	True	True	True	False	False	state_to_effect
CBL+PTPN9	8	64	direct_effect_ridge	CPA_0.8.8	0.07590579683346967	0.030771096581544737	0.10667689341501439	30	0	0.1066768934150144	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
CBL+PTPN9	16	128	direct_effect_ridge	additive	-0.0010920074428039702	0.015340822696117635	0.01424881525331367	30	30	0.014248815253313665	5.204170427930421e-18	True	True	True	False	False	state_to_effect
CBL+PTPN9	16	128	direct_effect_ridge	compositional_ridge	-0.0008135293031223374	0.015340822696117635	0.0145272933929953	30	30	0.014527293392995298	1.734723475976807e-18	True	True	True	False	False	state_to_effect
