dataset	regime	reference_depth	family	readout	root_index	value
gse162632	cap48	8	CPA	S_to_M	7	-2.61241778209964e-12
gse162632	cap48	8	CellOT	raw_state	0	0.13058448275694273
gse162632	cap48	8	CellOT	raw_state	1	0.12636933316860277
gse162632	cap48	8	CellOT	raw_state	2	0.12031806058503541
gse162632	cap48	8	CellOT	raw_state	3	0.12330779170707021
gse162632	cap48	8	CellOT	raw_state	4	0.12157792819662684
gse162632	cap48	8	CellOT	raw_state	5	0.12071187298480057
gse162632	cap48	8	CellOT	raw_state	6	0.12276802940291343
gse162632	cap48	8	CellOT	raw_state	7	0.12500933395277275
gse162632	cap48	8	CellOT	input_centered_effect	0	0.4851704923941206
gse162632	cap48	8	CellOT	input_centered_effect	1	0.46718782173157636
gse162632	cap48	8	CellOT	input_centered_effect	2	0.45799404003163446
gse162632	cap48	8	CellOT	input_centered_effect	3	0.4576244442934302
gse162632	cap48	8	CellOT	input_centered_effect	4	0.4651643178687835
gse162632	cap48	8	CellOT	input_centered_effect	5	0.47994091377162346
gse162632	cap48	8	CellOT	input_centered_effect	6	0.5001447375818334
gse162632	cap48	8	CellOT	input_centered_effect	7	0.47964073185380934
gse162632	cap48	8	CellOT	reference	0	0.4945971765783124
gse162632	cap48	8	CellOT	reference	1	0.4772762745684007
gse162632	cap48	8	CellOT	reference	2	0.4681235466829002
gse162632	cap48	8	CellOT	reference	3	0.4676773835581799
gse162632	cap48	8	CellOT	reference	4	0.4737203334423644
gse162632	cap48	8	CellOT	reference	5	0.4890371039141158
gse162632	cap48	8	CellOT	reference	6	0.5086716093608081
gse162632	cap48	8	CellOT	reference	7	0.4879458449993468
gse162632	cap48	8	CellOT	D_to_O	0	0.013144133764151697
gse162632	cap48	8	CellOT	D_to_O	1	0.012748694923264319
gse162632	cap48	8	CellOT	D_to_O	2	0.011928774975337111
gse162632	cap48	8	CellOT	D_to_O	3	0.01225340729062852
gse162632	cap48	8	CellOT	D_to_O	4	0.01140715216562331
gse162632	cap48	8	CellOT	D_to_O	5	0.011692682283955142
gse162632	cap48	8	CellOT	D_to_O	6	0.011837018335615639
gse162632	cap48	8	CellOT	D_to_O	7	0.011831624795667031
