matching_id	graph_id	cardinality	model	utility_sum_numerator	utility_sum_denominator
M059	G12	12	CellOT	107001071158216941	9007199254740992
M060	G12	12	NC	1688545275222135	140737488355328
M060	G12	12	CM	108066177566797069	9007199254740992
M060	G12	12	TW	6754138261445387	562949953421312
M060	G12	12	PCA	6754138261445387	562949953421312
M060	G12	12	RBF	54033154410905233	4503599627370496
M060	G12	12	CPA	103347372982582443	9007199254740992
M060	G12	12	scGen	54008534925336987	4503599627370496
M060	G12	12	CellOT	53496633474790953	4503599627370496
M061	G12	12	NC	54033451195406879	4503599627370496
M061	G12	12	CM	108066963070241611	9007199254740992
M061	G12	12	TW	108066995203516251	9007199254740992
M061	G12	12	PCA	108066995203516251	9007199254740992
M061	G12	12	RBF	108067056099100995	9007199254740992
M061	G12	12	CPA	103344272779085915	9007199254740992
M061	G12	12	scGen	27004109882387865	2251799813685248
M061	G12	12	CellOT	26751338849350667	2251799813685248
M062	G12	12	NC	108066912555717901	9007199254740992
M062	G12	12	CM	108066346177959677	9007199254740992
M062	G12	12	TW	27016595114321687	2251799813685248
M062	G12	12	PCA	27016595114321687	2251799813685248
M062	G12	12	RBF	108066470027751465	9007199254740992
M062	G12	12	CPA	6460059047424531	562949953421312
M062	G12	12	scGen	108017773565277107	9007199254740992
M062	G12	12	CellOT	106993855814158071	9007199254740992
M063	G12	12	NC	108066917332315019	9007199254740992
M063	G12	12	CM	108067131681404219	9007199254740992
M063	G12	12	TW	108067163477676807	9007199254740992
M063	G12	12	PCA	108067163477676807	9007199254740992
M063	G12	12	RBF	54033608652520997	4503599627370496
M063	G12	12	CPA	3229932642352999	281474976710656
M063	G12	12	scGen	108017143244154593	9007199254740992
M063	G12	12	CellOT	107005944261978833	9007199254740992
M064	G12	12	NC	27016747897054935	2251799813685248
M064	G12	12	CM	54033337512376831	4503599627370496
M064	G12	12	TW	108066710060341647	9007199254740992
M064	G12	12	PCA	108066710060341647	9007199254740992
M064	G12	12	RBF	108066787857173647	9007199254740992
M064	G12	12	CPA	51673370506361467	4503599627370496
M064	G12	12	scGen	27004770390881905	2251799813685248
M064	G12	12	CellOT	107002287478768917	9007199254740992
M065	G12	12	NC	108067004755491113	9007199254740992
M065	G12	12	CM	108067179859746207	9007199254740992
M065	G12	12	TW	108067209119490879	9007199254740992
M065	G12	12	PCA	108067209119490879	9007199254740992
M065	G12	12	RBF	108067265321341211	9007199254740992
M065	G12	12	CPA	103387414601108973	9007199254740992
M065	G12	12	scGen	108018962685035397	9007199254740992
M065	G12	12	CellOT	13375304092125687	1125899906842624
M066	G12	12	NC	108067005165958455	9007199254740992
M066	G12	12	CM	54033534550717609	4503599627370496
M066	G12	12	TW	108067098899023901	9007199254740992
M066	G12	12	PCA	108067098899023901	9007199254740992
M066	G12	12	RBF	27016790037594095	2251799813685248
