allocation	depth_per_gemgroup	cells_per_role	effect_model	state_model	d_S	V	d_D	n_tasks	crossing_unit_count	d_D_predicted	identity_residual	condition_strict_raw	expected_crossing	observed_crossing	S_tie	D_tie	classification
5	128	1024	direct_effect_ridge	CPA_0.8.8	0.06983290495990906	0.0019349664926630059	0.07176787145257207	55	0	0.07176787145257206	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
5	135	1080	direct_effect_ridge	additive	0.0038184591578113445	0.0018369599754741214	0.005655419133285466	55	4	0.005655419133285466	0.0	False	False	False	False	False	effect_preferred_both
5	135	1080	direct_effect_ridge	compositional_ridge	0.0030272230928860278	0.0018369599754741214	0.0048641830683601485	55	10	0.004864183068360149	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
5	135	1080	direct_effect_ridge	CPA_0.8.8	0.06947825863488005	0.0018369599754741214	0.07131521861035417	55	0	0.07131521861035417	0.0	False	False	False	False	False	effect_preferred_both
6	8	64	direct_effect_ridge	additive	-0.011079773144898953	0.030948432080386213	0.019868658935487265	55	46	0.01986865893548726	3.469446951953614e-18	True	True	True	False	False	state_to_effect
6	8	64	direct_effect_ridge	compositional_ridge	-0.011871009209824271	0.030948432080386213	0.019077422870561946	55	40	0.019077422870561942	3.469446951953614e-18	True	True	True	False	False	state_to_effect
6	8	64	direct_effect_ridge	CPA_0.8.8	0.054866617227663006	0.030948432080386213	0.08581504930804923	55	5	0.08581504930804922	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
6	16	128	direct_effect_ridge	additive	-0.003307354708951068	0.01636410946417831	0.013056754755227246	55	38	0.01305675475522724	5.204170427930421e-18	True	True	True	False	False	state_to_effect
6	16	128	direct_effect_ridge	compositional_ridge	-0.004098590773876386	0.01636410946417831	0.012265518690301926	55	33	0.012265518690301923	3.469446951953614e-18	True	True	True	False	False	state_to_effect
6	16	128	direct_effect_ridge	CPA_0.8.8	0.06480977753798778	0.01636410946417831	0.08117388700216607	55	2	0.08117388700216609	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
6	32	256	direct_effect_ridge	additive	0.0006255453688534721	0.0080619162522033	0.008687461621056774	55	19	0.008687461621056772	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
6	32	256	direct_effect_ridge	compositional_ridge	-0.0001656906960718452	0.0080619162522033	0.007896225556131455	55	25	0.007896225556131455	0.0	True	True	True	False	False	state_to_effect
6	32	256	direct_effect_ridge	CPA_0.8.8	0.06510187025425959	0.0080619162522033	0.0731637865064629	55	2	0.0731637865064629	0.0	False	False	False	False	False	effect_preferred_both
6	64	512	direct_effect_ridge	additive	0.0027631162651800415	0.003962316239155941	0.006725432504335983	55	10	0.006725432504335983	0.0	False	False	False	False	False	effect_preferred_both
6	64	512	direct_effect_ridge	compositional_ridge	0.001971880200254724	0.003962316239155941	0.005934196439410665	55	15	0.005934196439410665	0.0	False	False	False	False	False	effect_preferred_both
6	64	512	direct_effect_ridge	CPA_0.8.8	0.06786220538769612	0.003962316239155941	0.07182452162685206	55	0	0.07182452162685206	0.0	False	False	False	False	False	effect_preferred_both
6	128	1024	direct_effect_ridge	additive	0.0038176860382348396	0.0018733894182719737	0.0056910754565068136	55	5	0.0056910754565068136	0.0	False	False	False	False	False	effect_preferred_both
6	128	1024	direct_effect_ridge	compositional_ridge	0.0030264499733095225	0.0018733894182719737	0.004899839391581495	55	11	0.004899839391581496	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
6	128	1024	direct_effect_ridge	CPA_0.8.8	0.06977989736229732	0.0018733894182719737	0.0716532867805693	55	0	0.0716532867805693	0.0	False	False	False	False	False	effect_preferred_both
6	135	1080	direct_effect_ridge	additive	0.003864967832858421	0.0017667367855279791	0.0056317046183864	55	5	0.005631704618386401	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
6	135	1080	direct_effect_ridge	compositional_ridge	0.0030737317679331044	0.0017667367855279791	0.004840468553461082	55	11	0.004840468553461083	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
6	135	1080	direct_effect_ridge	CPA_0.8.8	0.06976884518202206	0.0017667367855279791	0.07153558196755004	55	0	0.07153558196755004	0.0	False	False	False	False	False	effect_preferred_both
7	8	64	direct_effect_ridge	additive	-0.010742234910272238	0.031089640423701524	0.020347405513429295	55	45	0.020347405513429284	1.0408340855860843e-17	True	True	True	False	False	state_to_effect
7	8	64	direct_effect_ridge	compositional_ridge	-0.011533470975197553	0.031089640423701524	0.019556169448503975	55	41	0.01955616944850397	6.938893903907228e-18	True	True	True	False	False	state_to_effect
7	8	64	direct_effect_ridge	CPA_0.8.8	0.055599974845074465	0.031089640423701524	0.086689615268776	55	6	0.08668961526877599	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
7	16	128	direct_effect_ridge	additive	-0.0028724795335717495	0.014924737247778335	0.01205225771420659	55	38	0.012052257714206585	5.204170427930421e-18	True	True	True	False	False	state_to_effect
7	16	128	direct_effect_ridge	compositional_ridge	-0.0036637155984970663	0.014924737247778335	0.01126102164928127	55	33	0.011261021649281269	1.734723475976807e-18	True	True	True	False	False	state_to_effect
7	16	128	direct_effect_ridge	CPA_0.8.8	0.0663700586834577	0.014924737247778335	0.08129479593123605	55	2	0.08129479593123604	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
7	32	256	direct_effect_ridge	additive	0.0010614331806552183	0.007627540252196793	0.008688973432852014	55	18	0.008688973432852012	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
7	32	256	direct_effect_ridge	compositional_ridge	0.000270197115729901	0.007627540252196793	0.007897737367926696	55	27	0.007897737367926694	1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
7	32	256	direct_effect_ridge	CPA_0.8.8	0.06817392075883565	0.007627540252196793	0.07580146101103244	55	2	0.07580146101103244	0.0	False	False	False	False	False	effect_preferred_both
7	64	512	direct_effect_ridge	additive	0.0028322553039239495	0.0037885726459080905	0.00662082794983204	55	11	0.00662082794983204	0.0	False	False	False	False	False	effect_preferred_both
7	64	512	direct_effect_ridge	compositional_ridge	0.0020410192389986323	0.0037885726459080905	0.005829591884906721	55	15	0.005829591884906723	-1.734723475976807e-18	False	False	False	False	False	effect_preferred_both
7	64	512	direct_effect_ridge	CPA_0.8.8	0.06901691844570958	0.0037885726459080905	0.07280549109161766	55	0	0.07280549109161767	-1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
7	128	1024	direct_effect_ridge	additive	0.0038425391793894944	0.0017860187317843485	0.005628557911173843	55	3	0.005628557911173843	0.0	False	False	False	False	False	effect_preferred_both
7	128	1024	direct_effect_ridge	compositional_ridge	0.0030513031144641773	0.0017860187317843485	0.004837321846248526	55	10	0.004837321846248526	0.0	False	False	False	False	False	effect_preferred_both
7	128	1024	direct_effect_ridge	CPA_0.8.8	0.07034595509144803	0.0017860187317843485	0.07213197382323237	55	0	0.07213197382323237	0.0	False	False	False	False	False	effect_preferred_both
7	135	1080	direct_effect_ridge	additive	0.003892679618616875	0.001694514898458445	0.005587194517075321	55	3	0.00558719451707532	8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
7	135	1080	direct_effect_ridge	compositional_ridge	0.0031014435536915585	0.001694514898458445	0.004795958452150003	55	9	0.0047959584521500035	-8.673617379884035e-19	False	False	False	False	False	effect_preferred_both
7	135	1080	direct_effect_ridge	CPA_0.8.8	0.07006614460039537	0.001694514898458445	0.07176065949885381	55	0	0.07176065949885381	0.0	False	False	False	False	False	effect_preferred_both
8	8	64	direct_effect_ridge	additive	-0.009644421182324376	0.02884255303309267	0.0191981318507683	55	44	0.019198131850768296	3.469446951953614e-18	True	True	True	False	False	state_to_effect
8	8	64	direct_effect_ridge	compositional_ridge	-0.010435657247249694	0.02884255303309267	0.018406895785842984	55	41	0.018406895785842977	6.938893903907228e-18	True	True	True	False	False	state_to_effect
8	8	64	direct_effect_ridge	CPA_0.8.8	0.061249734527502445	0.02884255303309267	0.09009228756059513	55	3	0.09009228756059512	1.3877787807814457e-17	False	False	False	False	False	effect_preferred_both
