completed_epoch	autoencoder_lr	doser_lr	adversary_lr
357	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
358	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
359	4.782969000000002e-05	4.782969000000002e-05	4.782969000000002e-05
360	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
361	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
362	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
363	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
364	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
365	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
366	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
367	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
368	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
369	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
370	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
371	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
372	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
373	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
374	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
375	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
376	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
377	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
378	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
379	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
380	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
381	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
382	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
383	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
384	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
385	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
386	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
387	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
388	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
389	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
390	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
391	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
392	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
393	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
394	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
395	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
396	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
397	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
398	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
399	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
400	4.304672100000002e-05	4.304672100000002e-05	4.304672100000002e-05
