cohort	program_id	mse_S	mse_D	mse_D_minus_S	contribution_to_all37_mse_delta	contribution_to_secondary_without_IFNa36	mae_S	mae_D	mae_D_minus_S
extension39_four_types	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.022583900658676076	0.021246606026845898	-0.0013372946318301777	-3.614309815757237e-05	-3.7147073106393825e-05	0.11090626425106374	0.11288378131061315	0.001977517059549405
extension39_four_types	HALLMARK_TGF_BETA_SIGNALING	0.024370738816491582	0.01759727747606775	-0.006773461340423833	-0.00018306652271415764	-0.00018815170390066202	0.12310339176477565	0.10339560818558328	-0.019707783579192367
extension39_four_types	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.014211764170649375	0.01320918584172828	-0.001002578328921094	-2.7096711592462e-05	-2.7849398025585944e-05	0.08746592692583377	0.08230786764917594	-0.005158059276657828
extension39_four_types	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.018474356722331064	0.012121793174144234	-0.00635256354818683	-0.00017169090670775215	-0.00017646009856074526	0.10927303255117735	0.08837922652715643	-0.02089380602402091
extension39_four_types	HALLMARK_UV_RESPONSE_DN	0.01888261211772186	0.014460288754509226	-0.004422323363212634	-0.00011952225305980092	-0.0001228423156447954	0.10714081445136513	0.09473521559629816	-0.012405598855066965
extension39_four_types	HALLMARK_UV_RESPONSE_UP	0.018272574376242766	0.01376606680851368	-0.004506507567729086	-0.00012179750183051584	-0.00012518076577025238	0.10713157544783558	0.09207214636331448	-0.015059429084521098
extension39_four_types	HALLMARK_XENOBIOTIC_METABOLISM	0.029804569096949802	0.020733879476676664	-0.009070689620273138	-0.0002451537735208956	-0.00025196360056314274	0.13792613866321063	0.11448201609893077	-0.023444122564279857
extension34_five_types	HALLMARK_ADIPOGENESIS	0.00967631768338045	0.007517261447900523	-0.0021590562354799267	-5.835287122918721e-05	-5.997378431888685e-05	0.07978001041509636	0.06852283755489567	-0.011257172860200684
extension34_five_types	HALLMARK_ALLOGRAFT_REJECTION	0.008443903210318142	0.007502176160523912	-0.0009417270497942302	-2.5452082426871087e-05	-2.6159084716506394e-05	0.07447689953584091	0.07075225322734091	-0.0037246463085000014
extension34_five_types	HALLMARK_ANDROGEN_RESPONSE	0.02425234926110193	0.016829420164234193	-0.007422929096867738	-0.00020061970532074967	-0.00020619247491299273	0.12622510625756028	0.10301810729755304	-0.023206998960007247
extension34_five_types	HALLMARK_APICAL_JUNCTION	0.02245127994424452	0.015851973572683926	-0.006599306371560594	-0.00017835963166379983	-0.00018331406587668316	0.11459532161995457	0.09865052745014936	-0.01594479416980521
extension34_five_types	HALLMARK_APOPTOSIS	0.011210929785204757	0.009664898753597091	-0.001546031031607666	-4.178462247588286e-05	-4.294530643354628e-05	0.08315983477531266	0.07626743190231222	-0.006892402873000442
extension34_five_types	HALLMARK_COAGULATION	0.022572525445596157	0.014271058561821986	-0.00830146688377417	-0.00022436396983173434	-0.0002305963023270603	0.11072270532999816	0.09499570178844464	-0.015727003541553514
extension34_five_types	HALLMARK_COMPLEMENT	0.013465344008990706	0.00957259411967158	-0.003892749889319126	-0.0001052094564680845	-0.00010813194136997573	0.0866373236716322	0.07137217194731801	-0.015265151724314183
extension34_five_types	HALLMARK_DNA_REPAIR	0.010502054446692407	0.008035534406267206	-0.002466520040425201	-6.666270379527571e-05	-6.85144455673667e-05	0.08160769179060477	0.0740435645818362	-0.007564127208768576
extension34_five_types	HALLMARK_E2F_TARGETS	0.012140555843235246	0.010137745599259129	-0.002002810243976118	-5.4130006593949126e-05	-5.5633617888225496e-05	0.08616800334964925	0.08262662095671301	-0.003541382392936235
extension34_five_types	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.016964978307101766	0.014370256918324647	-0.0025947213887771194	-7.012760510208431e-05	-7.207559413269776e-05	0.10068146026453982	0.09517123365761483	-0.0055102266069249894
extension34_five_types	HALLMARK_ESTROGEN_RESPONSE_LATE	0.016667387460237465	0.012565999631485249	-0.004101387828752216	-0.00011084831969600584	-0.00011392743968756156	0.10449672266483664	0.09370907816830049	-0.010787644496536158
extension34_five_types	HALLMARK_FATTY_ACID_METABOLISM	0.01738644618558622	0.012068023997754283	-0.005318422187831937	-0.00014374114021167397	-0.00014773394966199825	0.10443451556291139	0.08362278442202639	-0.020811731140884998
extension34_five_types	HALLMARK_G2M_CHECKPOINT	0.014863656292933057	0.01116719327242851	-0.0036964630205045482	-9.990440595958238e-05	-0.00010267952834734856	0.09719164133970032	0.08598043030548247	-0.01121121103421785
