dataset	regime	panel	seed	depth	unit	allocations	biological_roots	contrast	family	utility_before	utility_after	utility_gain	structural_input_unused	deterministic_seed_alias
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	PCA	-0.34009855939451883	-0.34009855939451883	-3.0531133177191805e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	RBF	-0.34110610184273643	-0.34110610184273643	-1.8318679906315084e-18	True	True
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	scGen	-0.12370387575981537	-0.1237038757582448	1.5703823935675487e-12	False	False
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	CPA	-0.37189154142858094	-0.3718915414351871	-6.606016011989624e-12	False	False
gse162632	original8	primary	17	4	root_04	1000	1	S_to_M	CellOT	-0.13287379369972105	-0.13287379369356225	6.1586593325113625e-12	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	NC	-0.4223345344623108	-0.4223345344623108	-4.052314039881821e-18	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	CM	-0.35965679227517733	-0.35965679227517733	-8.881784197001253e-19	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	TW	-0.35762956426471443	-0.35762956426471443	-7.216449660063517e-19	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	PCA	-0.3584431371693759	-0.3584431371693759	-1.4432899320127034e-18	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	RBF	-0.3581638042066437	-0.3581638042066437	-1.1102230246251566e-18	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	scGen	-0.6078621779313661	-0.5973019368694407	0.01056024106192537	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	CPA	-0.876322740094299	-0.868360314265919	0.007962425828380422	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_O	CellOT	-0.6186138080790564	-0.6047506670675271	0.013863141011529734	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	NC	-0.4223345344623108	-0.4223345344623108	0.0	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	CM	-0.35965679227517733	-0.35965679227517733	0.0	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	TW	-0.35762956426471443	-0.35762956426471443	0.0	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	PCA	-0.3584431371693759	-0.3584431371693759	0.0	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	RBF	-0.3581638042066437	-0.3581638042066437	0.0	True	True
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	scGen	-0.6078621779313661	-0.6184224189864354	-0.01056024105506959	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	CPA	-0.876322740094299	-0.8842851659101861	-0.007962425815887358	False	False
gse162632	original8	primary	17	4	root_05	1000	1	D_to_P	CellOT	-0.6186138080790564	-0.6324769490983667	-0.01386314101931155	False	False
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	NC	-0.42233453446231084	-0.4223345344623108	1.5154544286133388e-17	True	True
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	CM	-0.3596567922751774	-0.35965679227517733	2.7755575615628914e-19	True	True
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	TW	-0.35762956426471443	-0.35762956426471443	-7.771561172376096e-19	True	True
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	PCA	-0.3584431371693759	-0.3584431371693759	-5.551115123125783e-20	True	True
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	RBF	-0.3581638042066437	-0.3581638042066437	-7.216449660063517e-19	True	True
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	scGen	-0.12928374164800518	-0.12928374164814527	-1.4008119664232766e-13	False	False
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	CPA	-0.3977443038187398	-0.3977443038262074	-7.467189810927976e-12	False	False
gse162632	original8	primary	17	4	root_05	1000	1	S_to_M	CellOT	-0.14003537180138984	-0.14003537180198414	-5.941832859068796e-13	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	NC	-0.40490719162876515	-0.4049071916287651	-3.1086244689504384e-18	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	CM	-0.4115430180316468	-0.4115430180316468	-5.3290705182007515e-18	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	TW	-0.40574458345886505	-0.40574458345886505	-4.274358644806853e-18	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	PCA	-0.4093801216447229	-0.409380121644723	-2.275957200481571e-18	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	RBF	-0.40747130062635734	-0.40747130062635734	-4.551914400963142e-18	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	scGen	-0.6931603619791274	-0.6822563090268006	0.010904052952327114	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	CPA	-1.0336022011633574	-1.0274154440262282	0.006186757137128927	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_O	CellOT	-0.6938899037187286	-0.6801792400893354	0.013710663629392621	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	NC	-0.40490719162876515	-0.40490719162876515	0.0	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	CM	-0.4115430180316468	-0.4115430180316468	0.0	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	TW	-0.40574458345886505	-0.40574458345886505	0.0	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	PCA	-0.4093801216447229	-0.4093801216447229	0.0	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	RBF	-0.40747130062635734	-0.40747130062635734	0.0	True	True
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	scGen	-0.6931603619791274	-0.704064414924425	-0.01090405294529777	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	CPA	-1.0336022011633574	-1.0397889583003344	-0.006186757136977405	False	False
gse162632	original8	primary	17	4	root_06	1000	1	D_to_P	CellOT	-0.6938899037187286	-0.707600567337513	-0.01371066361878534	False	False
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	NC	-0.40490719162876515	-0.40490719162876515	1.6486811915683574e-17	True	True
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	CM	-0.41154301803164683	-0.4115430180316468	1.6209256159527284e-17	True	True
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	TW	-0.40574458345886516	-0.40574458345886505	1.6986412276764895e-17	True	True
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	PCA	-0.409380121644723	-0.4093801216447229	1.5432100042289677e-17	True	True
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	RBF	-0.4074713006263574	-0.40747130062635734	1.659783421814609e-17	True	True
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	scGen	-0.1758482296651629	-0.17584822966439273	7.699959558848945e-13	False	False
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	CPA	-0.51629006884041	-0.5162900688372452	3.165067929966625e-12	False	False
gse162632	original8	primary	17	4	root_06	1000	1	S_to_M	CellOT	-0.17657777139975964	-0.1765777714059813	-6.2217258289809505e-12	False	False
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	NC	-0.4252949607573834	-0.4252949607573833	-3.608224830031759e-18	True	True
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	CM	-0.36457811264285866	-0.36457811264285866	-2.7755575615628914e-19	True	True
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	TW	-0.36403037613023115	-0.36403037613023115	-1.0547118733938987e-18	True	True
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	PCA	-0.3631515038486008	-0.36315150384860073	-7.771561172376096e-19	True	True
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	RBF	-0.36392729245726163	-0.36392729245726163	-1.3877787807814458e-18	True	True
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	scGen	-0.6096030992889601	-0.5980659084835193	0.01153719080544022	False	False
gse162632	original8	primary	17	4	root_07	1000	1	D_to_O	CPA	-0.8922447552237858	-0.8846254054053249	0.007619349818460118	False	False
