depth_per_gemgroup	cells_per_reference	model	pattern	mean	allocation_min	allocation_max
64	512	direct_effect_ridge	S	0.023352500308107524	0.023144463080997654	0.023520490711091923
64	512	direct_effect_ridge	M	0.023352500308107524	0.023144463080997654	0.02352049071109192
64	512	direct_effect_ridge	P	0.023352500308107524	0.023144463080997654	0.02352049071109192
64	512	direct_effect_ridge	O	0.023352500308107524	0.023144463080997654	0.02352049071109192
64	512	direct_effect_ridge	D	0.023352500308107524	0.023144463080997654	0.02352049071109192
128	1024	direct_effect_ridge	S	0.022380424845421635	0.022333316225809516	0.022470309822650268
128	1024	direct_effect_ridge	M	0.022380424845421635	0.022333316225809505	0.022470309822650268
128	1024	direct_effect_ridge	P	0.022380424845421635	0.022333316225809505	0.022470309822650268
128	1024	direct_effect_ridge	O	0.022380424845421635	0.022333316225809505	0.022470309822650268
128	1024	direct_effect_ridge	D	0.022380424845421635	0.022333316225809505	0.022470309822650268
135	1080	direct_effect_ridge	S	0.022334487061274989	0.022283473924823952	0.022410599746413701
135	1080	direct_effect_ridge	M	0.022334487061274989	0.022283473924823952	0.022410599746413701
135	1080	direct_effect_ridge	P	0.022334487061274989	0.022283473924823952	0.022410599746413701
135	1080	direct_effect_ridge	O	0.022334487061274989	0.022283473924823952	0.022410599746413701
135	1080	direct_effect_ridge	D	0.022334487061274989	0.022283473924823952	0.022410599746413701
