allocation	depth_per_gemgroup	cells_per_reference	model	pattern	scaled_squared_error
3	32	256	CPA_0.8.8	P	0.084481307285398141
3	32	256	CPA_0.8.8	O	0.08254096613480133
3	32	256	CPA_0.8.8	D	0.08351113671009977
3	32	256	zero_effect	S	0.10823770066731814
3	32	256	zero_effect	M	0.10823770066731814
3	32	256	zero_effect	P	0.10823770066731814
3	32	256	zero_effect	O	0.10823770066731814
3	32	256	zero_effect	D	0.10823770066731814
3	64	512	additive	S	0.026195167136201958
3	64	512	additive	M	0.026195167136201958
3	64	512	additive	P	0.030324559497747105
3	64	512	additive	O	0.030324559497747105
3	64	512	additive	D	0.030324559497747105
3	64	512	compositional_ridge	S	0.025403931071276635
3	64	512	compositional_ridge	M	0.025403931071276635
3	64	512	compositional_ridge	P	0.029533323432821789
3	64	512	compositional_ridge	O	0.029533323432821789
3	64	512	compositional_ridge	D	0.029533323432821789
3	64	512	CPA_0.8.8	S	0.073847102361818392
3	64	512	CPA_0.8.8	M	0.073847102361818379
3	64	512	CPA_0.8.8	P	0.078598568670955465
3	64	512	CPA_0.8.8	O	0.077354420775771593
3	64	512	CPA_0.8.8	D	0.077976494723363501
3	64	512	zero_effect	S	0.10428550380502531
3	64	512	zero_effect	M	0.10428550380502533
3	64	512	zero_effect	P	0.10428550380502533
3	64	512	zero_effect	O	0.10428550380502533
3	64	512	zero_effect	D	0.10428550380502533
3	128	1024	additive	S	0.026195167136201958
3	128	1024	additive	M	0.026195167136201958
3	128	1024	additive	P	0.028122746785887272
3	128	1024	additive	O	0.028122746785887272
3	128	1024	additive	D	0.028122746785887272
3	128	1024	compositional_ridge	S	0.025403931071276635
3	128	1024	compositional_ridge	M	0.025403931071276635
3	128	1024	compositional_ridge	P	0.027331510720961964
3	128	1024	compositional_ridge	O	0.027331510720961964
3	128	1024	compositional_ridge	D	0.027331510720961964
3	128	1024	CPA_0.8.8	S	0.073002659113796553
3	128	1024	CPA_0.8.8	M	0.073002659113796553
3	128	1024	CPA_0.8.8	P	0.075148604935176944
3	128	1024	CPA_0.8.8	O	0.074711872591786785
3	128	1024	CPA_0.8.8	D	0.074930238763481857
3	128	1024	zero_effect	S	0.10226445598301483
3	128	1024	zero_effect	M	0.10226445598301483
3	128	1024	zero_effect	P	0.10226445598301483
3	128	1024	zero_effect	O	0.10226445598301483
3	128	1024	zero_effect	D	0.10226445598301483
3	135	1080	additive	S	0.026195167136201958
3	135	1080	additive	M	0.026195167136201958
3	135	1080	additive	P	0.028050778005380417
3	135	1080	additive	O	0.028050778005380417
3	135	1080	additive	D	0.028050778005380417
3	135	1080	compositional_ridge	S	0.025403931071276635
3	135	1080	compositional_ridge	M	0.025403931071276635
3	135	1080	compositional_ridge	P	0.027259541940455111
3	135	1080	compositional_ridge	O	0.027259541940455111
3	135	1080	compositional_ridge	D	0.027259541940455111
3	135	1080	CPA_0.8.8	S	0.073307066509215965
3	135	1080	CPA_0.8.8	M	0.073307066509215965
3	135	1080	CPA_0.8.8	P	0.075396928783677666
3	135	1080	CPA_0.8.8	O	0.07492842597311121
3	135	1080	CPA_0.8.8	D	0.07516267737839441
3	135	1080	zero_effect	S	0.102567922411659
3	135	1080	zero_effect	M	0.102567922411659
3	135	1080	zero_effect	P	0.102567922411659
3	135	1080	zero_effect	O	0.102567922411659
3	135	1080	zero_effect	D	0.102567922411659
